TRANSACTION_ID,TRANSACTION_TIMESTAMP,SENDER_ACCOUNT,RECEIVER_ACCOUNT,AMOUNT,TRANSACTION_TYPE,MERCHANT_CATEGORY,LOCATION,DEVICE_USED,IS_FRAUD,FRAUD_TYPE,TIME_SINCE_LAST_TRANSACTION,SPENDING_DEVIATION_SCORE,VELOCITY_SCORE,GEO_ANOMALY_SCORE,PAYMENT_CHANNEL,IP_ADDRESS,DEVICE_HASH,TXN_HOUR,DAY_NAME,TXN_DATE
T4155042,2023-08-01 14:46:49.806,ACC444491,ACC998568,106.64,payment,other,SINGAPORE,web,FALSE,,3156.970662923,0.51,19,0.53,ACH,207.159.13.217,D7870566,14,Tue,2023-08-01
T4155049,2023-03-01 17:13:33.231,ACC908344,ACC145897,174.27,payment,online,TORONTO,atm,FALSE,,1187.583199323,-0.11,14,0.36,ACH,89.99.166.5,D7636760,17,Wed,2023-03-01
T4155056,2023-04-20 23:06:13.208,ACC762949,ACC927278,54.47,payment,online,TOKYO,atm,FALSE,,1164.800683922,-1.57,18,0.35,wire_transfer,131.252.216.97,D9967524,23,Thu,2023-04-20
T4155063,2023-07-10 18:53:33.575,ACC795756,ACC758323,294.41,withdrawal,utilities,TOKYO,web,FALSE,,-1478.868771749,0.77,5,0.85,ACH,94.107.215.115,D1662527,18,Mon,2023-07-10
T4155070,2023-02-26 19:44:42.134,ACC618638,ACC599670,96.28,payment,entertainment,SINGAPORE,pos,FALSE,,-6837.290734151,1.14,9,0.31,card,240.124.192.35,D7072336,19,Sun,2023-02-26
T4155077,2023-05-06 02:22:28.005,ACC113350,ACC173507,249.17,withdrawal,grocery,NEW YORK,pos,FALSE,,-4145.929347176,1.77,15,0.47,wire_transfer,202.127.102.17,D9826471,2,Sat,2023-05-06
T4155084,2023-01-12 18:27:34.218,ACC816660,ACC881447,1138.23,deposit,grocery,TORONTO,web,TRUE,card_not_present,-392.530439678,2.39,11,0.58,UPI,71.199.24.156,D7280220,18,Thu,2023-01-12
T4155091,2023-02-04 12:40:47.660,ACC740947,ACC857802,448.18,withdrawal,grocery,BERLIN,atm,FALSE,,-3165.223902124,1.6,19,0.15,UPI,123.25.44.196,D3753629,12,Sat,2023-02-04
T4155098,2023-07-10 05:26:48.742,ACC771759,ACC810196,292.24,withdrawal,online,BERLIN,pos,FALSE,,3176.244221779,-0.31,12,0.88,ACH,55.125.104.75,D6325377,5,Mon,2023-07-10
T4155105,2023-12-19 01:09:40.043,ACC291841,ACC836501,11.66,transfer,retail,SINGAPORE,mobile,FALSE,,623.281829058,0.06,1,0.57,ACH,140.5.163.207,D9846091,1,Tue,2023-12-19
T4155112,2023-08-19 00:34:23.478,ACC257475,ACC325859,13.63,transfer,travel,SYDNEY,mobile,FALSE,,1607.316116993,0.1,8,0.72,UPI,240.190.44.98,D1144688,0,Sat,2023-08-19
T4155119,2023-12-01 21:22:04.165,ACC248186,ACC824602,2.39,transfer,retail,LONDON,pos,FALSE,,1218.946806743,0.06,15,0.32,ACH,1.158.146.97,D9618668,21,Fri,2023-12-01
T4155126,2023-08-02 23:22:25.336,ACC766610,ACC548619,245.81,withdrawal,entertainment,DUBAI,web,FALSE,,4410.510618525,0.16,6,0.41,UPI,141.44.31.100,D7963154,23,Wed,2023-08-02
T4155133,2023-08-25 15:01:19.282,ACC237414,ACC249240,6.75,payment,entertainment,SYDNEY,atm,FALSE,,4705.939791571,0.07,11,0.57,UPI,76.38.163.117,D5506769,15,Fri,2023-08-25
T4155140,2023-04-03 05:59:51.004,ACC586838,ACC231729,1084.79,deposit,grocery,TORONTO,mobile,FALSE,,370.290901189,0.45,11,0.42,wire_transfer,4.50.126.77,D8749670,5,Mon,2023-04-03
T4155147,2023-02-26 20:00:36.952,ACC801809,ACC730463,1996.41,deposit,retail,TORONTO,pos,FALSE,,-7082.986769286,1.2,20,0.93,ACH,57.188.184.29,D8884259,20,Sun,2023-02-26
